"Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","Y"
40364,764.547,288.7231377,178.9353459,1.613561235,0.784801537,40880,226.700333,0.716894004,0.987377691,0.867752122,0.785182424,0.007152986,0.001677063,0.616511438,0.994778958,1
39936,743.299,277.6154851,183.5212157,1.512716031,0.750330749,40423,225.4952205,0.769227806,0.987952403,0.908337681,0.812257358,0.00695151,0.001866524,0.659762015,0.998032578,1
46949,836.513,313.4034505,191.9024901,1.63313905,0.790611785,47566,244.494015,0.673867176,0.98702855,0.843122776,0.780125473,0.006675402,0.001525159,0.608595753,0.993921491,1
22838,563.396,204.5070443,143.1830822,1.428290558,0.714007889,23169,170.5234433,0.77958696,0.985713669,0.904149849,0.833826746,0.008954683,0.002670135,0.695267042,0.993043352,0
44213,783.036,295.9261088,190.6661281,1.552064395,0.764770183,44657,237.2630186,0.80655636,0.99005755,0.90614227,0.801764398,0.006693192,0.001706083,0.642826151,0.99770758,1
40325,747.301,283.6691998,181.2849574,1.564769653,0.769147167,40736,226.5907868,0.798530664,0.989910644,0.907388171,0.7987853,0.007034574,0.001766598,0.638057955,0.998413724,0
45298,805.407,309.1636307,187.263429,1.650955728,0.79568567,45759,240.1566258,0.796826625,0.989925479,0.877522159,0.776794558,0.006825106,0.0015329,0.603409785,0.99620284,1
49608,832.409,319.189669,198.3725095,1.609041847,0.78342378,50045,251.322238,0.770669567,0.991267859,0.899679962,0.787375853,0.006434238,0.001525476,0.619960734,0.997542765,1
39344,764.8,294.0574599,170.8502168,1.721141859,0.81389668,39803,223.8176415,0.727662801,0.988468206,0.845264475,0.761135737,0.00747401,0.001547326,0.57932761,0.997105,1
52492,868.092,336.0718809,199.2172947,1.686961373,0.805363109,53087,258.5244479,0.68668158,0.988791983,0.875329321,0.769253432,0.006402345,0.001382919,0.591750843,0.998260815,1
38213,721.742,267.5025123,182.466177,1.466038894,0.731249446,38610,220.5772035,0.713035528,0.98971769,0.921843167,0.824579932,0.007000301,0.001996308,0.679932065,0.996806852,0
43471,771.879,284.2202125,195.2462163,1.455701513,0.726700888,43891,235.2636739,0.823314394,0.99043084,0.916876927,0.827751383,0.006538157,0.001893367,0.685172352,0.997406429,1
39699,742.497,281.8956665,179.6556906,1.569088435,0.770605289,40047,224.8251247,0.771903558,0.991310211,0.904898826,0.797547289,0.007100825,0.001772207,0.636081679,0.998068406,0
27517,610.178,225.0695203,156.0495214,1.442295486,0.720611374,27787,187.1783442,0.709823041,0.990283226,0.928747928,0.831646791,0.00817929,0.002413521,0.691636385,0.997544036,0
39392,746.64,265.9159705,189.1446635,1.405886719,0.702893747,39836,223.9541296,0.725290912,0.988854303,0.887964063,0.842198869,0.006750507,0.002094955,0.709298935,0.997193952,1
34161,743.083,266.6617782,164.2904278,1.623112081,0.787667632,35013,208.5548755,0.779504381,0.975666181,0.777438042,0.78209512,0.00780603,0.001801558,0.611672777,0.992813474,0
49748,845.485,329.2944088,193.4725969,1.702020928,0.809197417,50387,251.6766196,0.769283108,0.987318157,0.874527913,0.764290595,0.006619249,0.001393229,0.584140114,0.994218698,1
35117,694.419,258.12303,173.6919044,1.486097069,0.739730225,35508,211.4529572,0.706408915,0.988988397,0.915132716,0.819194464,0.007350372,0.002041913,0.67107957,0.997289382,0
31472,685.062,252.0025366,159.3324445,1.581614701,0.774752002,31945,200.1784078,0.696252378,0.985193301,0.842702826,0.794350765,0.008007198,0.001966571,0.630993138,0.997988024,0
25878,585.837,207.5047699,159.3829129,1.301926073,0.640338583,26154,181.5182992,0.736341908,0.989447121,0.947516929,0.874766875,0.008018578,0.002896319,0.765217086,0.996256076,0
35704,700.94,261.7285307,174.0866471,1.503438289,0.746716864,36110,213.2129093,0.762124317,0.988756577,0.913198205,0.814633807,0.00733051,0.001991424,0.663628239,0.997724104,0
33657,687.144,260.1653166,165.5826681,1.571211043,0.771316527,34070,207.0106842,0.765941468,0.987877898,0.895756049,0.795689014,0.007729902,0.001911293,0.633121006,0.994766716,0
26516,602.063,221.3319657,152.8388492,1.448139442,0.723293026,26810,183.7422645,0.728461538,0.989033943,0.91925076,0.830165963,0.00834711,0.002445545,0.689175526,0.998022262,0
